valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.18911989033222198,-0.18391379714012146,-0.18507389724254608,-0.20054452121257782,0.38448554277420044,0.3851810395717621,0.4006597399711609,0.4991093575954437,5.0,2.327777624130249,0,1,,,,,,,,,,
-0.18222346901893616,-0.1645514816045761,-0.16761519014835358,-0.2204662263393402,0.3731764256954193,0.3714722990989685,0.3800780177116394,0.46603506803512573,5.0,2.2628695964813232,1,3,,,,,,,,,,
-0.22100777924060822,-0.18578410148620605,-0.19088980555534363,-0.29686495661735535,0.2155989110469818,0.2556381821632385,0.21862563490867615,0.28894078731536865,5.0,2.2009239196777344,2,5,,,,,,,,,,
-0.31100305914878845,-0.22322578728199005,-0.25243669748306274,-0.47617846727371216,0.11950796842575073,0.1749245822429657,0.12194906175136566,0.18453925848007202,5.0,2.1429221630096436,3,7,,,,,,,,,,
-0.6627594828605652,-0.2964915931224823,-0.47083014249801636,-1.2893584966659546,0.07517723739147186,0.1358143538236618,0.08027897775173187,0.1322263479232788,5.0,2.094184637069702,4,9,,,,,,,,,,
-1.2646524906158447,-0.3733617961406708,-0.7987421751022339,-2.7819700241088867,0.07327502965927124,0.13810698688030243,0.07807835191488266,0.1292629837989807,5.0,2.052461862564087,5,11,,,,,,,,,,
-1.7547544240951538,-0.4263034462928772,-1.0437850952148438,-4.029206275939941,0.07131119817495346,0.1437801718711853,0.07623718678951263,0.11731891334056854,5.0,2.018826484680176,6,13,,,,,,,,,,
-1.6072311401367188,-0.38885876536369324,-0.9440705180168152,-3.7273895740509033,0.06253379583358765,0.13378503918647766,0.06701891124248505,0.10122513771057129,5.0,1.9930320978164673,7,15,,,,,,,,,,
-1.5900377035140991,-0.3657831847667694,-0.9097442626953125,-3.7404403686523438,0.051258862018585205,0.12294141948223114,0.057774703949689865,0.08768274635076523,5.0,1.969959020614624,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-1.8900740146636963,-0.42928314208984375,-1.2068184614181519,-4.206581115722656,0.030252277851104736,0.10381218045949936,0.047632694244384766,0.04638024419546127,5.0,1.9111764430999756
-1.775557279586792,-0.3490179181098938,-0.9535228610038757,-4.322303295135498,0.07262861728668213,0.141957089304924,0.07918930053710938,0.11407838761806488,5.0,1.9478496313095093,9,19,,,,,,,,,,
-2.510261058807373,-0.384997695684433,-1.2400479316711426,-6.360044002532959,0.08992914855480194,0.16428479552268982,0.09740644693374634,0.13605040311813354,5.0,1.9222863912582397,10,21,,,,,,,,,,
-4.083232402801514,-0.47846049070358276,-1.8281497955322266,-10.73149299621582,0.06623977422714233,0.1500643938779831,0.07571743428707123,0.11325101554393768,5.0,1.895524263381958,11,23,,,,,,,,,,
-6.667716026306152,-0.570318877696991,-2.636425495147705,-18.199176788330078,0.04475792497396469,0.13434147834777832,0.05603591725230217,0.09178640693426132,5.0,1.873456597328186,12,25,,,,,,,,,,
-9.913702964782715,-0.6627444624900818,-3.559368848800659,-27.710107803344727,0.03815881535410881,0.13141503930091858,0.05047466605901718,0.08533122390508652,5.0,1.8532978296279907,13,27,,,,,,,,,,
-11.577469825744629,-0.67106693983078,-3.938566207885742,-32.735748291015625,0.04527002573013306,0.14287196099758148,0.05884883925318718,0.09220415353775024,5.0,1.8371864557266235,14,29,,,,,,,,,,
-15.135126113891602,-0.7276520729064941,-4.779450416564941,-43.40150833129883,0.05047142505645752,0.15311288833618164,0.06697189807891846,0.09623932838439941,5.0,1.8199498653411865,15,31,,,,,,,,,,
-18.407115936279297,-0.7469801306724548,-5.432362079620361,-53.358558654785156,0.05143098160624504,0.15857118368148804,0.07094617933034897,0.09614384174346924,5.0,1.8036960363388062,16,33,,,,,,,,,,
-27.997085571289062,-0.8995872735977173,-7.539344787597656,-82.23292541503906,0.046383023262023926,0.15907423198223114,0.06876536458730698,0.08921349048614502,5.0,1.7851375341415405,17,35,,,,,,,,,,
-40.790008544921875,-1.02655827999115,-9.920683860778809,-121.34942626953125,0.04054572433233261,0.1618136465549469,0.06516840308904648,0.07936664670705795,5.0,1.7687427997589111,18,37,,,,,,,,,,
,,,,,,,,,,19,39,-47.30784225463867,-1.013092279434204,-12.372672080993652,-140.1616668701172,0.03865373134613037,0.14973509311676025,0.0667460560798645,0.056304752826690674,5.0,1.7657428979873657
-48.719966888427734,-1.038330316543579,-11.00412654876709,-146.06509399414062,0.03605997562408447,0.16592320799827576,0.06230431795120239,0.07046286761760712,5.0,1.7542469501495361,19,39,,,,,,,,,,
-60.948829650878906,-1.1091450452804565,-12.807339668273926,-184.2195281982422,0.035163700580596924,0.17075732350349426,0.06320846080780029,0.06682425737380981,5.0,1.737396478652954,20,41,,,,,,,,,,
-83.34706115722656,-1.235343337059021,-15.9810791015625,-254.5036163330078,0.03632064908742905,0.1762535572052002,0.0671175941824913,0.0668325424194336,5.0,1.7196229696273804,21,43,,,,,,,,,,
-102.89986419677734,-1.262873649597168,-18.129186630249023,-316.54547119140625,0.036652468144893646,0.1816001981496811,0.0706193670630455,0.06514277309179306,5.0,1.7040727138519287,22,45,,,,,,,,,,
-158.3166046142578,-1.5133193731307983,-24.853530883789062,-492.26348876953125,0.0369434580206871,0.18963824212551117,0.07264328002929688,0.06278254836797714,5.0,1.6853688955307007,23,47,,,,,,,,,,
-211.50900268554688,-1.7289947271347046,-31.220813751220703,-662.1189575195312,0.03113577887415886,0.1955244392156601,0.06751593202352524,0.055070601403713226,5.0,1.6671886444091797,24,49,,,,,,,,,,
-208.2010498046875,-1.7620216608047485,-32.11599349975586,-650.7094116210938,0.024939676746726036,0.19577547907829285,0.060626983642578125,0.0479121208190918,5.0,1.6513454914093018,25,51,,,,,,,,,,
-211.9960174560547,-1.845851182937622,-34.23583221435547,-661.6729736328125,0.024666428565979004,0.20169731974601746,0.060782015323638916,0.046751778572797775,5.0,1.6351029872894287,26,53,,,,,,,,,,
-283.3948669433594,-2.121022939682007,-43.656429290771484,-891.6027221679688,0.025969862937927246,0.21041062474250793,0.06316173076629639,0.04744353145360947,5.0,1.618255853652954,27,55,,,,,,,,,,
-252.30795288085938,-2.25711727142334,-44.27204513549805,-786.9188842773438,0.02539779804646969,0.21890607476234436,0.06164775416254997,0.045383673161268234,5.0,1.6019008159637451,28,57,,,,,,,,,,
,,,,,,,,,,29,59,-409.38751220703125,-2.576472043991089,-68.49213409423828,-1273.7542724609375,0.034838538616895676,0.21763116121292114,0.07145792245864868,0.04984436556696892,5.0,1.6003056764602661
-249.21987915039062,-2.577814817428589,-49.29861068725586,-772.1137084960938,0.0214754156768322,0.22164802253246307,0.05734316632151604,0.04150323197245598,5.0,1.5856188535690308,29,59,,,,,,,,,,
-153.4511260986328,-2.318948268890381,-38.511600494384766,-464.6527404785156,0.022907814010977745,0.2283446490764618,0.05851175636053085,0.041551969945430756,5.0,1.57373046875,30,61,,,,,,,,,,
