valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/loss
-0.13215503096580505,-0.1302366554737091,-0.1328289806842804,-0.13400733470916748,0.012606481090188026,0.03764878958463669,0.03238115832209587,-10.0,2.163968324661255,0,1,,,,,,,,,
-0.1282559633255005,-0.1253330260515213,-0.12946444749832153,-0.13064394891262054,0.012031776830554008,0.036232586950063705,0.023684024810791016,-10.0,2.1588361263275146,1,3,,,,,,,,,
-0.12436981499195099,-0.12051103264093399,-0.12607817351818085,-0.12725846469402313,0.01223908830434084,0.03697659820318222,0.02020665816962719,-10.0,2.153773307800293,2,5,,,,,,,,,
-0.12045977264642715,-0.11572756618261337,-0.12263698875904083,-0.12381789833307266,0.01312187034636736,0.03963574767112732,0.021874576807022095,-10.0,2.1486973762512207,3,7,,,,,,,,,
-0.11649665981531143,-0.11095933616161346,-0.11910708993673325,-0.12028876692056656,0.014481562189757824,0.0437106229364872,0.025429511442780495,-10.0,2.1435461044311523,4,9,,,,,,,,,
-0.11244641244411469,-0.10617196559906006,-0.11545322090387344,-0.11663569509983063,0.016065966337919235,0.04846876114606857,0.03294222429394722,-10.0,2.138270139694214,5,11,,,,,,,,,
-0.10825537145137787,-0.1012791246175766,-0.11163727194070816,-0.11282022297382355,0.017749974504113197,0.05357389897108078,0.04636659473180771,-10.0,2.1328225135803223,6,13,,,,,,,,,
-0.10385620594024658,-0.09615647792816162,-0.10762181133031845,-0.10880444198846817,0.019609197974205017,0.05923546105623245,0.057584889233112335,-10.0,2.127159833908081,7,15,,,,,,,,,
-0.09918119013309479,-0.09068562090396881,-0.10336743295192719,-0.10454849898815155,0.021516399458050728,0.06518617272377014,0.07220553606748581,-2.809328317642212,2.121239423751831,8,17,,,,,,,,,
,,,,,,,,,9,19,-0.0968511775135994,-0.0886506512761116,-0.1013399064540863,-0.10100892931222916,0.019174374639987946,0.05712362006306648,0.06456654518842697,-10.0,2.113844394683838
-0.09420841187238693,-0.08487947285175323,-0.09883499145507812,-0.10001277923583984,0.023656267672777176,0.07207350432872772,0.08392052352428436,-1.302704095840454,2.1150400638580322,9,19,,,,,,,,,
-0.08893603086471558,-0.07881448417901993,-0.09398256242275238,-0.0951547622680664,0.026203278452157974,0.08020014315843582,0.08801940083503723,-2.424529552459717,2.1085355281829834,10,21,,,,,,,,,
-0.08335202187299728,-0.07253453135490417,-0.08876901119947433,-0.08993245661258698,0.028890660032629967,0.08841851353645325,0.08683492243289948,-1.6046531200408936,2.1016883850097656,11,23,,,,,,,,,
-0.0774291381239891,-0.06602977961301804,-0.08315914124250412,-0.084309883415699,0.031205162405967712,0.0950961485505104,0.08084791898727417,-4.086342811584473,2.094472885131836,12,25,,,,,,,,,
-0.0711357370018959,-0.059263236820697784,-0.07712580263614655,-0.07825855165719986,0.032960839569568634,0.09990242123603821,0.06784076243638992,-5.566539287567139,2.0868914127349854,13,27,,,,,,,,,
-0.06440716236829758,-0.052077215164899826,-0.07065466791391373,-0.07176250964403152,0.034321293234825134,0.10339021682739258,0.0596054308116436,-10.0,2.0789635181427,14,29,,,,,,,,,
-0.05723360925912857,-0.044424958527088165,-0.06375618278980255,-0.06483013182878494,0.035352032631635666,0.10585124790668488,0.055254362523555756,-4.2602458000183105,2.0707266330718994,15,31,,,,,,,,,
-0.04973013699054718,-0.0365409217774868,-0.05648346617817879,-0.057510387152433395,0.036145515739917755,0.10769475996494293,0.04778612032532692,-5.0137619972229,2.062267780303955,16,33,,,,,,,,,
-0.0420687198638916,-0.028680097311735153,-0.04896903783082962,-0.049930308014154434,0.0368204340338707,0.1094270795583725,0.052090294659137726,-1.174467921257019,2.0537188053131104,17,35,,,,,,,,,
-0.034493397921323776,-0.021038338541984558,-0.04148833081126213,-0.04235540330410004,0.03753851354122162,0.1114497035741806,0.05880187824368477,-4.777624607086182,2.0453433990478516,18,37,,,,,,,,,
,,,,,,,,,19,39,-0.031259749084711075,-0.017568496987223625,-0.0380479134619236,-0.03870183974504471,0.033162325620651245,0.09861849248409271,0.05417225882411003,-0.10857942700386047,2.034693717956543
-0.027413418516516685,-0.013878111727535725,-0.034537315368652344,-0.03526526689529419,0.038407668471336365,0.11390043795108795,0.07528529316186905,-0.0034335325472056866,2.037587881088257,19,39,,,,,,,,,
-0.02149951457977295,-0.007663056254386902,-0.028905000537633896,-0.029433567076921463,0.039258647710084915,0.11631231009960175,0.10650669038295746,0.08222777396440506,2.0310795307159424,20,41,,,,,,,,,
-0.017417488619685173,-0.0026844919193536043,-0.025461554527282715,-0.025738757103681564,0.039975352585315704,0.11858987808227539,0.1258569210767746,0.0814300924539566,2.0263514518737793,21,43,,,,,,,,,
-0.014947143383324146,0.00156293751206249,-0.02409878373146057,-0.024149155244231224,0.04071009159088135,0.12110571563243866,0.11224494874477386,0.10856752097606659,2.023280143737793,22,45,,,,,,,,,
-0.01225653663277626,0.00614243745803833,-0.022484196349978447,-0.022450460121035576,0.04137811437249184,0.12365162372589111,0.09046749025583267,0.06537533551454544,2.0204625129699707,23,47,,,,,,,,,
-0.007974456064403057,0.011611195281147957,-0.01880556344985962,-0.018827082589268684,0.042396508157253265,0.12720397114753723,0.08441739529371262,0.0798027515411377,2.016713857650757,24,49,,,,,,,,,
-0.0029002302326261997,0.017489785328507423,-0.014088219031691551,-0.014216666109859943,0.044182974845170975,0.13226467370986938,0.10008527338504791,0.09808395057916641,2.012439727783203,25,51,,,,,,,,,
0.0015637570759281516,0.02286490425467491,-0.010016921907663345,-0.010268298909068108,0.04565500095486641,0.1361376941204071,0.12176056206226349,0.12069710344076157,2.0086562633514404,26,53,,,,,,,,,
0.004897010046988726,0.02751883864402771,-0.00729710329324007,-0.007658396847546101,0.04652886465191841,0.13838432729244232,0.13906441628932953,0.13744565844535828,2.005798101425171,27,55,,,,,,,,,
0.007353834807872772,0.03164420649409294,-0.005662304814904928,-0.006100732367485762,0.04742245748639107,0.14085648953914642,0.15072129666805267,0.1430789977312088,2.0036494731903076,28,57,,,,,,,,,
,,,,,,,,,29,59,0.006312302313745022,0.028983324766159058,-0.005443548317998648,-0.005615083035081625,0.0404503159224987,0.12063360959291458,0.14222212135791779,0.1517997831106186,1.997323989868164
0.00948213879019022,0.035818200558423996,-0.004590512253344059,-0.00506972661241889,0.04863128066062927,0.14448459446430206,0.15571658313274384,0.1526159644126892,2.0017876625061035,29,59,,,,,,,,,
0.011497898027300835,0.03999137878417969,-0.0037193738389760256,-0.004197223577648401,0.04987794905900955,0.1482287049293518,0.15829625725746155,0.15481659770011902,2.0000767707824707,30,61,,,,,,,,,
0.013501429930329323,0.044201191514730453,-0.002910410054028034,-0.003349906299263239,0.05097975581884384,0.15149874985218048,0.16125911474227905,0.1556456834077835,1.998427152633667,31,63,,,,,,,,,
0.015563679859042168,0.04872387647628784,-0.002190045081079006,-0.002564952941611409,0.05225639417767525,0.15549194812774658,0.1643069088459015,0.16089217364788055,1.9967119693756104,32,65,,,,,,,,,
0.017539028078317642,0.05333533138036728,-0.0016599278897047043,-0.0019493693253025413,0.05316760018467903,0.15845932066440582,0.16346155107021332,0.15969616174697876,1.9951270818710327,33,67,,,,,,,,,
0.019276954233646393,0.057707153260707855,-0.0013710499042645097,-0.0015696019399911165,0.05368036776781082,0.160308375954628,0.15839096903800964,0.15457871556282043,1.9937664270401,34,69,,,,,,,,,
0.0210921298712492,0.06269235163927078,-0.001284009194932878,-0.001386629301123321,0.054949693381786346,0.1646488904953003,0.15772105753421783,0.1530480980873108,1.9922497272491455,35,71,,,,,,,,,
0.022725483402609825,0.06727408617734909,-0.0012542217737063766,-0.0012793088098987937,0.0557766929268837,0.16754356026649475,0.15422198176383972,0.15004409849643707,1.9909080266952515,36,73,,,,,,,,,
0.024481236934661865,0.07217241823673248,-0.0011933856876567006,-0.0011508929310366511,0.05702555924654007,0.171637162566185,0.1539648175239563,0.14966878294944763,1.9894294738769531,37,75,,,,,,,,,
0.026356052607297897,0.07734411209821701,-0.0010875910520553589,-0.0009869938949123025,0.05839649587869644,0.17601414024829865,0.15558356046676636,0.15064990520477295,1.9878743886947632,38,77,,,,,,,,,
,,,,,,,,,39,79,0.02246510423719883,0.06699597835540771,-0.0008787572151049972,-0.0006676441407762468,0.04966006055474281,0.15024951100349426,0.12425746023654938,0.12162608653306961,1.9850138425827026
0.028336118906736374,0.08283939212560654,-0.000989711843430996,-0.0008334940066561103,0.05980402231216431,0.18060767650604248,0.1557452380657196,0.15022073686122894,1.9862592220306396,39,79,,,,,,,,,
0.030259300023317337,0.08823463320732117,-0.0009321075631305575,-0.0007328784558922052,0.060787636786699295,0.18366166949272156,0.1567421853542328,0.15248115360736847,1.984741449356079,40,81,,,,,,,,,
0.03242461383342743,0.0944751426577568,-0.0009535163408145308,-0.0006844002055004239,0.062221460044384,0.18842178583145142,0.16015487909317017,0.15615050494670868,1.982966661453247,41,83,,,,,,,,,
0.03436470776796341,0.100052610039711,-0.0009765469585545361,-0.0006651628063991666,0.06318835914134979,0.19164736568927765,0.1585363894701004,0.15465517342090607,1.9814414978027344,42,85,,,,,,,,,
0.03662287816405296,0.10661806911230087,-0.001035090652294457,-0.0006501877214759588,0.06433722376823425,0.19577448070049286,0.15661868453025818,0.15360841155052185,1.9796323776245117,43,87,,,,,,,,,
0.03883902356028557,0.11301974952220917,-0.0010832804255187511,-0.0006292289472185075,0.06532551348209381,0.19918708503246307,0.15568408370018005,0.15524397790431976,1.9778575897216797,44,89,,,,,,,,,
0.04124172031879425,0.11995591968297958,-0.0011414116015657783,-0.0006118881283327937,0.06668317317962646,0.20381268858909607,0.15222586691379547,0.15227895975112915,1.976019263267517,45,91,,,,,,,,,
0.04391059651970863,0.12767402827739716,-0.0012231320142745972,-0.0006077110883779824,0.06786513328552246,0.20808760821819305,0.15109239518642426,0.15102121233940125,1.974050760269165,46,93,,,,,,,,,
0.04610758647322655,0.1340375691652298,-0.00126978091429919,-0.0006180137279443443,0.0683189257979393,0.20996785163879395,0.14943483471870422,0.15076757967472076,1.9723278284072876,47,95,,,,,,,,,
0.0491877943277359,0.14314544200897217,-0.0014247560175135732,-0.0006343185668811202,0.06976568698883057,0.2157018631696701,0.14394459128379822,0.14360570907592773,1.9699245691299438,48,97,,,,,,,,,
,,,,,,,,,49,99,0.04050859808921814,0.11994192004203796,-0.0010019493056461215,-0.000353571173036471,0.058991774916648865,0.18338020145893097,0.09970588237047195,0.09684251248836517,1.970341444015503
0.05114220455288887,0.14861269295215607,-0.0013509767595678568,-0.0006464463076554239,0.07042201608419418,0.2176215648651123,0.14379823207855225,0.1420505940914154,1.9683144092559814,49,99,,,,,,,,,
0.05473513528704643,0.1591702252626419,-0.0014942609705030918,-0.0006542575429193676,0.07213997095823288,0.22414584457874298,0.14088399708271027,0.13643281161785126,1.9656215906143188,50,101,,,,,,,,,
0.05696932226419449,0.16541917622089386,-0.0013763648457825184,-0.0006551014957949519,0.07248707860708237,0.22532160580158234,0.14161893725395203,0.13616584241390228,1.9638826847076416,51,103,,,,,,,,,
0.06067494675517082,0.1761486977338791,-0.0014182936865836382,-0.0006560247857123613,0.07316591590642929,0.22870531678199768,0.14092133939266205,0.13316144049167633,1.9611406326293945,52,105,,,,,,,,,
0.06375598162412643,0.18496127426624298,-0.0013239758554846048,-0.000656483753118664,0.07423949241638184,0.23312589526176453,0.13279227912425995,0.11710610240697861,1.9587986469268799,53,107,,,,,,,,,
0.06665744632482529,0.1931457817554474,-0.0011938577517867088,-0.0006615293095819652,0.07479093968868256,0.23524904251098633,0.1345861852169037,0.11810950189828873,1.956491231918335,54,109,,,,,,,,,
0.07118866592645645,0.2062871903181076,-0.0012054573744535446,-0.0006675904733128846,0.07653877884149551,0.24196621775627136,0.13646578788757324,0.11956758797168732,1.9532371759414673,55,111,,,,,,,,,
0.07383841276168823,0.21363361179828644,-0.0009091884130612016,-0.0006759941461496055,0.07714411616325378,0.24413064122200012,0.13594527542591095,0.11855001747608185,1.9511191844940186,56,113,,,,,,,,,
0.07802776992321014,0.2255205363035202,-0.0007018184405751526,-0.0006809043698012829,0.07778584957122803,0.24771252274513245,0.1349012702703476,0.11521172523498535,1.9479477405548096,57,115,,,,,,,,,
0.0815063863992691,0.23517075181007385,-0.00027744172257371247,-0.0006846386240795255,0.07847636193037033,0.25114718079566956,0.1332162767648697,0.11151549965143204,1.9452178478240967,58,117,,,,,,,,,
,,,,,,,,,59,119,0.0674315020442009,0.19847504794597626,-0.000118155476229731,-0.0004733604146167636,0.06845463812351227,0.22075846791267395,0.10628173500299454,0.07798194885253906,1.9523823261260986
0.08588453382253647,0.24754317104816437,2.8072001441614702e-05,-0.0006865686154924333,0.07919394969940186,0.2548271119594574,0.1356111615896225,0.10983457416296005,1.9418445825576782,59,119,,,,,,,,,
0.08951088786125183,0.2573375701904297,0.000650147208943963,-0.0006879270076751709,0.08129356801509857,0.26089590787887573,0.1335912048816681,0.1122816801071167,1.9391210079193115,60,121,,,,,,,,,
0.09449567645788193,0.2710361182689667,0.001355870277620852,-0.0006876307306811213,0.08249577134847641,0.2665213346481323,0.1367618292570114,0.11004628241062164,1.9353382587432861,61,123,,,,,,,,,
0.09705352783203125,0.2777212858200073,0.002047042828053236,-0.0006826954777352512,0.08242785185575485,0.2670086622238159,0.13868409395217896,0.11103427410125732,1.9329948425292969,62,125,,,,,,,,,
0.10030005127191544,0.28633877635002136,0.0027400075923651457,-0.0006758230738341808,0.08402010053396225,0.2713412046432495,0.13972041010856628,0.11524511873722076,1.9305565357208252,63,127,,,,,,,,,
0.1065884456038475,0.3031471073627472,0.004146178252995014,-0.0006692528841085732,0.08556096255779266,0.27810031175613403,0.14972567558288574,0.12037324905395508,1.9258772134780884,64,129,,,,,,,,,
0.10626234114170074,0.3016393482685089,0.004681657068431377,-0.0006602656794711947,0.08623026311397552,0.278752863407135,0.15222784876823425,0.12446855008602142,1.925559401512146,65,131,,,,,,,,,
0.11392486095428467,0.3217512369155884,0.00679658493027091,-0.0006512117106467485,0.0872233584523201,0.28459596633911133,0.1680305004119873,0.13029643893241882,1.9197629690170288,66,133,,,,,,,,,
0.11444747447967529,0.3224615454673767,0.00750174093991518,-0.0006403768202289939,0.08913084864616394,0.2884047329425812,0.17331668734550476,0.13364815711975098,1.919385313987732,67,135,,,,,,,,,
0.1219727024435997,0.3412764370441437,0.010418412275612354,-0.0006212234147824347,0.0899687185883522,0.2928534150123596,0.19007493555545807,0.1452830284833908,1.9137842655181885,68,137,,,,,,,,,
,,,,,,,,,69,139,0.09476689994335175,0.26783880591392517,0.009487232193350792,-0.00040837941924110055,0.07607534527778625,0.24715301394462585,0.14415384829044342,0.10288181900978088,1.9264451265335083
0.12293054163455963,0.3428032696247101,0.011623897589743137,-0.0005990546778775752,0.09161592274904251,0.2964135706424713,0.20510980486869812,0.1478986293077469,1.9125559329986572,69,139,,,,,,,,,
0.12766191363334656,0.35437408089637756,0.013716531917452812,-0.0005646366043947637,0.09370781481266022,0.3022403120994568,0.21950463950634003,0.1646452248096466,1.9092763662338257,70,141,,,,,,,,,
0.13267803192138672,0.3647717237472534,0.017832569777965546,-0.0005051731714047492,0.09608746320009232,0.30866190791130066,0.23205050826072693,0.18302904069423676,1.9051134586334229,71,143,,,,,,,,,
0.13349585235118866,0.36673203110694885,0.018157171085476875,-0.000471907842438668,0.09880990535020828,0.3143027424812317,0.2500474750995636,0.2022305279970169,1.9048597812652588,72,145,,,,,,,,,
0.14156699180603027,0.3831702470779419,0.025086840614676476,-0.00033621012698858976,0.10059704631567001,0.3194241225719452,0.26452702283859253,0.233577162027359,1.8982794284820557,73,147,,,,,,,,,
0.14150096476078033,0.3821171224117279,0.02588065341114998,-0.00027497709379531443,0.1031278744339943,0.3230062425136566,0.2861579954624176,0.25665295124053955,1.8983352184295654,74,149,,,,,,,,,
0.1489478200674057,0.39609354734420776,0.03336099907755852,-3.392755752429366e-05,0.10497574508190155,0.32616126537323,0.30256858468055725,0.2868904769420624,1.8926599025726318,75,151,,,,,,,,,
