valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.11849458515644073,-0.12285846471786499,-0.11302359402179718,-0.1228477731347084,0.1513933390378952,0.19293229281902313,0.15460310876369476,0.19122377038002014,5.0,2.191930055618286,0,1,,,,,,,,,,
-0.10391440242528915,-0.10853209346532822,-0.09648004174232483,-0.11029336601495743,0.17529703676700592,0.22018763422966003,0.1806621104478836,0.2207992970943451,5.0,2.1303281784057617,1,3,,,,,,,,,,
-0.12671513855457306,-0.11699990928173065,-0.11082364618778229,-0.16410622000694275,0.1556728333234787,0.22244665026664734,0.167702317237854,0.18097782135009766,5.0,2.079699993133545,2,5,,,,,,,,,,
-0.2918051481246948,-0.1712074875831604,-0.2335222214460373,-0.5421186685562134,0.11321713775396347,0.1955331414937973,0.13435815274715424,0.12568271160125732,5.0,2.0205674171447754,3,7,,,,,,,,,,
-0.4353097379207611,-0.19157001376152039,-0.329832524061203,-0.9223488569259644,0.09925492852926254,0.19125716388225555,0.12109901010990143,0.10378897190093994,5.0,1.9672187566757202,4,9,,,,,,,,,,
-0.7394358515739441,-0.22444388270378113,-0.5173689126968384,-1.765953779220581,0.1044771671295166,0.2077515870332718,0.12554079294204712,0.10560383647680283,5.0,1.9093055725097656,5,11,,,,,,,,,,
-1.0715680122375488,-0.24841979146003723,-0.6978867650032043,-2.7331156730651855,0.10892841964960098,0.2267613410949707,0.1295393705368042,0.11039336025714874,5.0,1.8532642126083374,6,13,,,,,,,,,,
-1.8004684448242188,-0.3357401192188263,-1.1035572290420532,-4.775330066680908,0.1012534350156784,0.23156419396400452,0.12339863926172256,0.10339627414941788,5.0,1.7993528842926025,7,15,,,,,,,,,,
-2.5782899856567383,-0.39079713821411133,-1.4909991025924683,-7.035198211669922,0.09964819997549057,0.241582989692688,0.12426312267780304,0.10072045028209686,5.0,1.7526428699493408,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-3.5477871894836426,-0.5131012797355652,-2.1827542781829834,-8.144757270812988,0.09662075340747833,0.2240738868713379,0.11447113007307053,0.10036416351795197,5.0,1.7524597644805908
-3.556102752685547,-0.4700930714607239,-2.0222158432006836,-9.791980743408203,0.09460857510566711,0.24309983849525452,0.12363697588443756,0.10089143365621567,5.0,1.7076084613800049,9,19,,,,,,,,,,
-4.019909381866455,-0.5182183980941772,-2.376065969467163,-10.960785865783691,0.0951465591788292,0.2475368231534958,0.1282413750886917,0.10831240564584732,5.0,1.669155478477478,10,21,,,,,,,,,,
-3.5945611000061035,-0.5338305830955505,-2.317810297012329,-9.447188377380371,0.10548166185617447,0.2654714286327362,0.14244282245635986,0.12250950187444687,5.0,1.6323184967041016,11,23,,,,,,,,,,
-3.034285545349121,-0.512712299823761,-2.0923776626586914,-7.684536933898926,0.12193155288696289,0.2874571979045868,0.16541451215744019,0.15020404756069183,5.0,1.5982023477554321,12,25,,,,,,,,,,
-2.5486700534820557,-0.5502848029136658,-2.0187106132507324,-5.95542573928833,0.12965674698352814,0.3004794716835022,0.18043480813503265,0.16111409664154053,5.0,1.566121220588684,13,27,,,,,,,,,,
-2.0054664611816406,-0.46591439843177795,-1.6366949081420898,-4.566094398498535,0.13598822057247162,0.31903061270713806,0.19158457219600677,0.16469793021678925,5.0,1.538090705871582,14,29,,,,,,,,,,
-1.6608577966690063,-0.4214020371437073,-1.4473129510879517,-3.6197094917297363,0.14841847121715546,0.3424864411354065,0.21146956086158752,0.17258885502815247,5.0,1.5110527276992798,15,31,,,,,,,,,,
-1.2889811992645264,-0.384840190410614,-1.3121155500411987,-2.4946014881134033,0.15876495838165283,0.37028270959854126,0.22582629323005676,0.17874817550182343,5.0,1.4885714054107666,16,33,,,,,,,,,,
-1.109778881072998,-0.30517712235450745,-1.2835928201675415,-1.9891735315322876,0.1803126186132431,0.40640178322792053,0.2453966587781906,0.20241129398345947,5.0,1.4683647155761719,17,35,,,,,,,,,,
-0.863949179649353,-0.23333445191383362,-1.1913222074508667,-1.3115497827529907,0.19183768332004547,0.43833407759666443,0.261294424533844,0.21898908913135529,5.0,1.4492576122283936,18,37,,,,,,,,,,
,,,,,,,,,,19,39,-1.0178834199905396,-0.3907060921192169,-1.434073805809021,-1.271600604057312,0.17900198698043823,0.41982555389404297,0.22941258549690247,0.20458319783210754,5.0,1.4806307554244995
-0.8509629964828491,-0.2158142626285553,-1.29856538772583,-1.1470955610275269,0.18890278041362762,0.4646323323249817,0.269141286611557,0.22297422587871552,5.0,1.432790756225586,19,39,,,,,,,,,,
-0.894080638885498,-0.1825588196516037,-1.4565887451171875,-1.1516915559768677,0.1985526829957962,0.49448174238204956,0.29267868399620056,0.2330179512500763,5.0,1.418745756149292,20,41,,,,,,,,,,
-0.9753166437149048,-0.19027259945869446,-1.4997576475143433,-1.3895351886749268,0.20832622051239014,0.5250507593154907,0.32213717699050903,0.2269163578748703,5.0,1.4056239128112793,21,43,,,,,,,,,,
-1.0125372409820557,-0.16824431717395782,-1.475171446800232,-1.590380072593689,0.2224244624376297,0.5552223920822144,0.3512937128543854,0.22290289402008057,5.0,1.394333839416504,22,45,,,,,,,,,,
