valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.10962679237127304,-0.08955707401037216,-0.11480971425771713,-0.126534104347229,0.06388616561889648,0.08335837721824646,0.0653059184551239,0.0917978286743164,5.0,2.1681020259857178,0,1,,,,,,,,,,
-0.07096102088689804,-0.0583372600376606,-0.07653918117284775,-0.078354112803936,0.11884605884552002,0.133998304605484,0.10905935615301132,0.16889771819114685,5.0,2.115725040435791,1,3,,,,,,,,,,
-0.06779035180807114,-0.05314461141824722,-0.0738012045621872,-0.07710357755422592,0.12696367502212524,0.14745274186134338,0.12021603435277939,0.1833641529083252,5.0,2.099395513534546,2,5,,,,,,,,,,
-0.05558028072118759,-0.04491838440299034,-0.06470949947834015,-0.05669158697128296,0.07542017102241516,0.09409445524215698,0.06703329086303711,0.10487677901983261,5.0,2.0595152378082275,3,7,,,,,,,,,,
-0.07172144949436188,-0.06298331916332245,-0.08347151428461075,-0.06763746589422226,0.036866605281829834,0.05660483241081238,0.03104361891746521,0.044943392276763916,5.0,2.048358917236328,4,9,,,,,,,,,,
-0.06608705967664719,-0.056240104138851166,-0.07825284451246262,-0.06262945383787155,0.027149289846420288,0.04623490571975708,0.02301841974258423,0.030846744775772095,5.0,2.032989978790283,5,11,,,,,,,,,,
-0.06321648508310318,-0.049123961478471756,-0.07543545961380005,-0.06427609920501709,0.03032323718070984,0.05034187436103821,0.026563555002212524,0.03635913133621216,5.0,2.022986888885498,6,13,,,,,,,,,,
-0.07394348829984665,-0.053317535668611526,-0.08713611215353012,-0.08080285787582397,0.042803168296813965,0.06694751977920532,0.03957235813140869,0.051439106464385986,5.0,2.007981777191162,7,15,,,,,,,,,,
-0.08919497579336166,-0.06221902370452881,-0.10200915485620499,-0.10319328308105469,0.056174635887145996,0.08330276608467102,0.053839534521102905,0.06883546710014343,5.0,2.0011372566223145,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-0.10092579573392868,-0.07215352356433868,-0.12419866770505905,-0.11424481123685837,0.04237887263298035,0.060477763414382935,0.04177749156951904,0.04874318838119507,5.0,1.98635733127594
-0.06387157738208771,-0.04084726795554161,-0.07571118324995041,-0.07485342025756836,0.06294474005699158,0.08812525868415833,0.061631739139556885,0.0849522054195404,5.0,1.9942032098770142,9,19,,,,,,,,,,
-0.04657698795199394,-0.0284704752266407,-0.05685817077755928,-0.054180633276700974,0.06937488913536072,0.09317183494567871,0.07012936472892761,0.09504196047782898,5.0,1.9933513402938843,10,21,,,,,,,,,,
-0.045160889625549316,-0.02723482809960842,-0.054684024304151535,-0.05346836894750595,0.08134996891021729,0.10582584142684937,0.08509337902069092,0.11020209640264511,5.0,1.9868271350860596,11,23,,,,,,,,,,
