valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/loss
-0.25148293375968933,-0.24909476935863495,-0.2516026496887207,-0.25497785210609436,0.0014805495738983154,0.005064249038696289,0.0004776418209075928,-3.846487522125244,2.4553043842315674,0,1,,,,,,,,,
-0.24895143508911133,-0.24462875723838806,-0.25008174777030945,-0.25339871644973755,0.0015251636505126953,0.004040658473968506,0.0007923245429992676,-2.191735029220581,2.450939655303955,1,3,,,,,,,,,
-0.24631507694721222,-0.2398248165845871,-0.24857446551322937,-0.251833975315094,0.002111077308654785,0.005333244800567627,0.002727895975112915,-1.5534113645553589,2.4464263916015625,2,5,,,,,,,,,
-0.24349792301654816,-0.23445948958396912,-0.2470809519290924,-0.2502841651439667,0.002851247787475586,0.007355183362960815,0.004804760217666626,-1.06791090965271,2.4416537284851074,3,7,,,,,,,,,
-0.240488201379776,-0.22849874198436737,-0.24560098350048065,-0.24874988198280334,0.0036790072917938232,0.009772121906280518,0.006740987300872803,-0.8119426965713501,2.4365487098693848,4,9,,,,,,,,,
-0.2374579906463623,-0.22245772182941437,-0.24413470923900604,-0.24723157286643982,0.004659295082092285,0.012759476900100708,0.008772879838943481,-0.605774998664856,2.431103229522705,5,11,,,,,,,,,
-0.23497386276721954,-0.21802516281604767,-0.24268169701099396,-0.24572908878326416,0.005878239870071411,0.016634970903396606,0.011151432991027832,-0.42838987708091736,2.425440788269043,6,13,,,,,,,,,
-0.23428106307983398,-0.2189173698425293,-0.2412431240081787,-0.24424389004707336,0.00755387544631958,0.02220723032951355,0.014486938714981079,-0.35693836212158203,2.4199323654174805,7,15,,,,,,,,,
-0.2360425889492035,-0.22714312374591827,-0.23982158303260803,-0.24277575314044952,0.010253101587295532,0.031511396169662476,0.020319819450378418,-0.2591147720813751,2.4151172637939453,8,17,,,,,,,,,
,,,,,,,,,9,19,-0.24524036049842834,-0.2522044777870178,-0.24244466423988342,-0.24142320454120636,0.007819294929504395,0.03125223517417908,0.0316866934299469,-0.29736533761024475,2.4623332023620605
