valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/loss
-0.13793796300888062,-0.13460378348827362,-0.13562707602977753,-0.14559708535671234,0.0040112934075295925,0.013027966022491455,0.031888287514448166,-10.0,3.312748670578003,0,1,,,,,,,,,
-0.13644187152385712,-0.1319900006055832,-0.1347704827785492,-0.14466959238052368,0.007005791179835796,0.021809380501508713,0.035244427621364594,-10.0,3.308950901031494,1,3,,,,,,,,,
-0.13492868840694427,-0.12930192053318024,-0.1339225322008133,-0.14375075697898865,0.008846323005855083,0.027078410610556602,0.03268244117498398,-10.0,3.305278778076172,2,5,,,,,,,,,
-0.13339076936244965,-0.12651506066322327,-0.13308368623256683,-0.14284102618694305,0.00984529685229063,0.029878955334424973,0.035912297666072845,-10.0,3.3016762733459473,3,7,,,,,,,,,
-0.13182727992534637,-0.12362538278102875,-0.13225412368774414,-0.141940638422966,0.011478245258331299,0.034536443650722504,0.03673335164785385,-10.0,3.298121690750122,4,9,,,,,,,,,
-0.13022850453853607,-0.1206061840057373,-0.13143418729305267,-0.1410498470067978,0.013906936161220074,0.04156039282679558,0.03880190849304199,-10.0,3.2946243286132812,5,11,,,,,,,,,
-0.1285906881093979,-0.11744914203882217,-0.1306234747171402,-0.1401684731245041,0.011242827400565147,0.03478187322616577,0.04181657359004021,-10.0,3.2911925315856934,6,13,,,,,,,,,
-0.12691538035869598,-0.11416473239660263,-0.12982188165187836,-0.1392962783575058,0.009990195743739605,0.03113013505935669,0.04467034339904785,-10.0,3.287837505340576,7,15,,,,,,,,,
-0.12521183490753174,-0.11078532040119171,-0.12902911007404327,-0.13843296468257904,0.010396003723144531,0.032151661813259125,0.049665749073028564,-10.0,3.2845664024353027,8,17,,,,,,,,,
,,,,,,,,,9,19,-0.12504196166992188,-0.10950755327939987,-0.13128529489040375,-0.1359180510044098,0.010929465293884277,0.032584428787231445,0.03762044757604599,-10.0,3.2461273670196533
-0.1235029324889183,-0.10738833248615265,-0.12824438512325287,-0.13757789134979248,0.011531015858054161,0.03530917689204216,0.055359601974487305,-10.0,3.281381130218506,9,19,,,,,,,,,
-0.12181726843118668,-0.104063019156456,-0.12746699154376984,-0.1367301642894745,0.013034860603511333,0.039509695023298264,0.06290968507528305,-10.0,3.2782816886901855,10,21,,,,,,,,,
-0.12019121646881104,-0.10091707855463028,-0.12669605016708374,-0.13588890433311462,0.01475435495376587,0.04427307844161987,0.071439228951931,-10.0,3.275275707244873,11,23,,,,,,,,,
-0.1186683177947998,-0.09807278960943222,-0.12593041360378265,-0.13505302369594574,0.01654142141342163,0.04916336387395859,0.08048473298549652,-10.0,3.2723851203918457,12,25,,,,,,,,,
-0.1172884926199913,-0.09563606977462769,-0.12516926229000092,-0.13422144949436188,0.018264692276716232,0.05382530018687248,0.08882401883602142,-10.0,3.2696235179901123,13,27,,,,,,,,,
-0.11607170104980469,-0.09365628659725189,-0.12441142648458481,-0.1333930492401123,0.019783100113272667,0.05789327621459961,0.09564453363418579,-10.0,3.2669856548309326,14,29,,,,,,,,,
-0.11498606204986572,-0.09203540533781052,-0.12365621328353882,-0.13256697356700897,0.02094089984893799,0.06097515672445297,0.10077697038650513,-10.0,3.2644248008728027,15,31,,,,,,,,,
-0.11397907882928848,-0.09062471240758896,-0.12290287017822266,-0.13174250721931458,0.021661799401044846,0.062883660197258,0.10390913486480713,-10.0,3.2618746757507324,16,33,,,,,,,,,
-0.11298458278179169,-0.08923884481191635,-0.12215125560760498,-0.13091956079006195,0.021898847073316574,0.06350678205490112,0.10549682378768921,-10.0,3.2592945098876953,17,35,,,,,,,,,
-0.11197952181100845,-0.08782006800174713,-0.12140017747879028,-0.13009677827358246,0.021718204021453857,0.06302245706319809,0.1067991852760315,-10.0,3.2566726207733154,18,37,,,,,,,,,
,,,,,,,,,19,39,-0.11111503094434738,-0.08271341770887375,-0.12575456500053406,-0.1260833442211151,0.020238658413290977,0.059821248054504395,0.09284649789333344,-10.0,3.2440030574798584
-0.1109720841050148,-0.08639401197433472,-0.12065032869577408,-0.1292748749256134,0.021216552704572678,0.06168202683329582,0.10695545375347137,-10.0,3.254019260406494,19,39,,,,,,,,,
-0.10997515916824341,-0.08500096201896667,-0.11990080773830414,-0.12845316529273987,0.020666521042585373,0.06020160764455795,0.10700367391109467,-10.0,3.2513465881347656,20,41,,,,,,,,,
-0.10898182541131973,-0.08362346887588501,-0.11915113776922226,-0.12763111293315887,0.02030426263809204,0.05920920893549919,0.1071186512708664,-10.0,3.2486495971679688,21,43,,,,,,,,,
-0.10798279941082001,-0.08223649114370346,-0.1184011697769165,-0.12680861353874207,0.020288150757551193,0.059144578874111176,0.10663416236639023,-10.0,3.245950222015381,22,45,,,,,,,,,
-0.10696998983621597,-0.08081525564193726,-0.11765078455209732,-0.12598556280136108,0.02053070068359375,0.05979079008102417,0.10686337947845459,-10.0,3.243262767791748,23,47,,,,,,,,,
-0.10597500950098038,-0.07945092767477036,-0.11690012365579605,-0.12516212463378906,0.020969688892364502,0.06097400188446045,0.10764174163341522,-10.0,3.240567445755005,24,49,,,,,,,,,
-0.10500013828277588,-0.07814773172140121,-0.11614938080310822,-0.12433866411447525,0.021505236625671387,0.06243376061320305,0.10804146528244019,-10.0,3.237866163253784,25,51,,,,,,,,,
