valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/num_points,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/num_points,train/loss
-0.13291236758232117,-0.1326455920934677,-0.13458584249019623,-0.1331501603126526,-0.1519453376531601,-0.07684428244829178,-10.0,-10.0,70.0,2.1920135021209717,0,1,,,,,,,,,,
-0.13004612922668457,-0.1286165714263916,-0.13235627114772797,-0.13083739578723907,-0.20159375667572021,0.0012868940830230713,-10.0,-10.0,70.0,2.187981605529785,1,3,,,,,,,,,,
-0.1272198110818863,-0.12459268420934677,-0.13018064200878143,-0.12858335673809052,-0.061926137655973434,-0.048914115875959396,-10.0,-10.0,70.0,2.184095621109009,2,5,,,,,,,,,,
-0.12442280352115631,-0.12055204063653946,-0.12804970145225525,-0.12638378143310547,-0.10098782926797867,0.005420375149697065,-10.0,-10.0,70.0,2.180321455001831,3,7,,,,,,,,,,
-0.12163257598876953,-0.11645827442407608,-0.1259484887123108,-0.12422282993793488,-0.019616199657320976,0.03983550891280174,-10.0,-10.0,70.0,2.1766157150268555,4,9,,,,,,,,,,
-0.11884798109531403,-0.11233095824718475,-0.12386782467365265,-0.12208852916955948,-0.015853984281420708,0.03461350128054619,-10.0,-10.0,70.0,2.1729581356048584,5,11,,,,,,,,,,
-0.11608900874853134,-0.10825570672750473,-0.1217973381280899,-0.11996984481811523,-0.022428859025239944,0.06135294958949089,-10.0,-10.0,70.0,2.1693410873413086,6,13,,,,,,,,,,
-0.11337114870548248,-0.1043006032705307,-0.11972887814044952,-0.11785589158535004,-0.040122050791978836,0.062058426439762115,-10.0,-10.0,70.0,2.165759325027466,7,15,,,,,,,,,,
-0.11070619523525238,-0.10051450878381729,-0.11765702068805695,-0.11573978513479233,-0.02933559939265251,0.09431112557649612,-10.0,-10.0,70.0,2.1622116565704346,8,17,,,,,,,,,,
,,,,,,,,,,9,19,-0.11077398806810379,-0.0978585034608841,-0.11734483391046524,-0.11762838065624237,0.0013927639229223132,0.10286038368940353,-10.0,-10.0,70.0,2.172186851501465
-0.1080891489982605,-0.09689417481422424,-0.11557424068450928,-0.11361291259527206,-0.022075993940234184,0.09146363288164139,-10.0,-10.0,70.0,2.15868878364563,9,19,,,,,,,,,,
-0.10550485551357269,-0.09340862184762955,-0.11347440630197525,-0.11146773397922516,0.011750561185181141,0.08461517840623856,-10.0,-10.0,70.0,2.1551733016967773,10,21,,,,,,,,,,
-0.10293649137020111,-0.0900237038731575,-0.11134789139032364,-0.10929441452026367,-0.015777379274368286,0.09870662540197372,-10.0,-10.0,70.0,2.151634931564331,11,23,,,,,,,,,,
-0.1003669872879982,-0.08670282363891602,-0.10918773710727692,-0.10708608478307724,0.002599090337753296,0.10795585811138153,-10.0,-10.0,70.0,2.1480531692504883,12,25,,,,,,,,,,
-0.09776845574378967,-0.08338134735822678,-0.10698653757572174,-0.10483480989933014,0.006061566062271595,0.1026674285531044,-10.0,-10.0,70.0,2.144423723220825,13,27,,,,,,,,,,
-0.09508630633354187,-0.07991177588701248,-0.10473650693893433,-0.1025330051779747,0.014053314924240112,0.1040288433432579,-10.0,-10.0,70.0,2.1407415866851807,14,29,,,,,,,,,,
-0.09232435375452042,-0.07631371170282364,-0.10243247449398041,-0.10017678886651993,0.008790832944214344,0.12357225269079208,-10.0,-10.0,70.0,2.136995553970337,15,31,,,,,,,,,,
-0.08952159434556961,-0.07271721959114075,-0.10006727278232574,-0.09775826334953308,0.008500385098159313,0.1197919100522995,-10.0,-10.0,70.0,2.133164405822754,16,33,,,,,,,,,,
-0.08668649196624756,-0.06915976107120514,-0.09763514995574951,-0.09527210891246796,0.008666169829666615,0.13852357864379883,-10.0,-10.0,70.0,2.129234790802002,17,35,,,,,,,,,,
-0.0838126540184021,-0.06562972813844681,-0.0951334536075592,-0.09271657466888428,0.00022817849821876734,0.11255593597888947,-10.0,-10.0,70.0,2.1252083778381348,18,37,,,,,,,,,,
,,,,,,,,,,19,39,-0.08302552998065948,-0.0665808767080307,-0.09294126182794571,-0.09265817701816559,0.04325248673558235,0.12722302973270416,-10.0,-10.0,70.0,2.1165146827697754
-0.08074570447206497,-0.061686135828495026,-0.09255237132310867,-0.09008340537548065,0.01206670980900526,0.13803325593471527,-10.0,-10.0,70.0,2.1211001873016357,19,39,,,,,,,,,,
-0.07770811766386032,-0.05797779560089111,-0.08989392966032028,-0.08737367391586304,0.014167088083922863,0.14279983937740326,-10.0,-10.0,70.0,2.116868734359741,20,41,,,,,,,,,,
-0.07465004920959473,-0.05437266081571579,-0.08715009689331055,-0.08458030223846436,0.001219892525114119,0.14832043647766113,-10.0,-10.0,70.0,2.112535238265991,21,43,,,,,,,,,,
-0.07140477746725082,-0.0503743477165699,-0.08432048559188843,-0.08170416951179504,-0.022063469514250755,0.16337426006793976,-10.0,-10.0,70.0,2.108125925064087,22,45,,,,,,,,,,
-0.06815849989652634,-0.04653254896402359,-0.08140349388122559,-0.07874418050050735,0.004416746087372303,0.15131603181362152,-10.0,-10.0,70.0,2.103590965270996,23,47,,,,,,,,,,
-0.06495391577482224,-0.042955365031957626,-0.07840690016746521,-0.07570867985486984,0.018208611756563187,0.15224121510982513,-10.0,-10.0,70.0,2.098931074142456,24,49,,,,,,,,,,
-0.06135527044534683,-0.03837431222200394,-0.07532662898302078,-0.07259535789489746,0.013453489169478416,0.14091844856739044,-10.0,-10.0,70.0,2.094221353530884,25,51,,,,,,,,,,
-0.057610709220170975,-0.033514101058244705,-0.0721675306558609,-0.06941032409667969,-0.036402083933353424,0.17074203491210938,-10.0,-10.0,70.0,2.0894551277160645,26,53,,,,,,,,,,
-0.05403495579957962,-0.029278645291924477,-0.06893567740917206,-0.06616421043872833,0.00028942228527739644,0.18408162891864777,-10.0,-10.0,70.0,2.0845932960510254,27,55,,,,,,,,,,
-0.05004312843084335,-0.023928966373205185,-0.06564796715974808,-0.06287162005901337,0.0010190189350396395,0.18124671280384064,-10.0,-10.0,70.0,2.0797486305236816,28,57,,,,,,,,,,
,,,,,,,,,,29,59,-0.05099252611398697,-0.027943994849920273,-0.06299366801977158,-0.06324178725481033,0.01550267357379198,0.18451182544231415,-10.0,-10.0,70.0,2.082786798477173
-0.04645199701189995,-0.019845152273774147,-0.06230301409959793,-0.05954158306121826,0.03307101130485535,0.17696069180965424,-10.0,-10.0,70.0,2.0748164653778076,29,59,,,,,,,,,,
-0.042191870510578156,-0.013867268338799477,-0.05893390625715256,-0.05619342252612114,-0.025786584243178368,0.1796397715806961,-10.0,-10.0,70.0,2.0699875354766846,30,61,,,,,,,,,,
