valid/r2_observ,valid/r2_observ/early,valid/r2_observ/middle,valid/r2_observ/late,valid/r2_latent,valid/r2_latent/early,valid/r2_latent/middle,valid/r2_latent/late,valid/loss,epoch,step,train/r2_observ,train/r2_observ/early,train/r2_observ/middle,train/r2_observ/late,train/r2_latent,train/r2_latent/early,train/r2_latent/middle,train/r2_latent/late,train/loss
-0.07100768387317657,-0.07191096991300583,-0.06995917856693268,-0.07204820960760117,0.002912926720455289,0.0095529081299901,0.0034080862533301115,-10.0,0.8928424119949341,0,0,,,,,,,,,
-0.06892388314008713,-0.06916293501853943,-0.06823458522558212,-0.07026743143796921,0.0026628554333001375,0.008928132243454456,0.0035205422900617123,-10.0,0.8897370100021362,1,1,,,,,,,,,
-0.06691064685583115,-0.06653933227062225,-0.06655313074588776,-0.06853293627500534,0.002678602933883667,0.009126496501266956,0.0033267915714532137,-2.151010513305664,0.886734127998352,2,2,,,,,,,,,
-0.0649648979306221,-0.06403131037950516,-0.0649137869477272,-0.06684521585702896,0.0029030025471001863,0.0099282031878829,0.0032432496082037687,-10.0,0.8838224411010742,3,3,,,,,,,,,
-0.06307901442050934,-0.06162307411432266,-0.06331217288970947,-0.06520169973373413,0.003278839634731412,0.011157423257827759,0.0033407271839678288,-10.0,0.8809888958930969,4,4,,,,,,,,,
-0.06124330684542656,-0.05929366871714592,-0.06174401193857193,-0.0635988861322403,0.0037965953815728426,0.01278180442750454,0.0032661021687090397,-10.0,0.878219723701477,5,5,,,,,,,,,
-0.059450048953294754,-0.057025860995054245,-0.06020625680685043,-0.06203343719244003,0.004466408398002386,0.014821499586105347,0.0029929280281066895,-10.0,0.8755046725273132,6,6,,,,,,,,,
-0.05769287422299385,-0.054804932326078415,-0.058697354048490524,-0.06050252914428711,0.005282312631607056,0.017249668017029762,0.0038053870666772127,-10.0,0.8728349804878235,7,7,,,,,,,,,
-0.05596620589494705,-0.052616722881793976,-0.057216666638851166,-0.059004046022892,0.006212055683135986,0.019975651055574417,0.004165035672485828,-10.0,0.8702021837234497,8,8,,,,,,,,,
-0.0542648509144783,-0.05044788867235184,-0.0557636134326458,-0.05753638595342636,0.007209473755210638,0.022889399901032448,0.005374610424041748,-10.0,0.8675994873046875,9,9,,,,,,,,,
-0.05258358642458916,-0.048284050077199936,-0.054338157176971436,-0.056098438799381256,0.008230775594711304,0.025901293382048607,0.007097035646438599,-0.928087055683136,0.8650197982788086,10,10,,,,,,,,,
-0.050918977707624435,-0.046115584671497345,-0.05293992906808853,-0.05468938499689102,0.009240972809493542,0.028944194316864014,0.009221011772751808,-10.0,0.8624584078788757,11,11,,,,,,,,,
-0.049265649169683456,-0.04392774775624275,-0.05156876891851425,-0.05330833047628403,0.010209763422608376,0.031951695680618286,0.01124613918364048,-1.7307838201522827,0.8599095344543457,12,12,,,,,,,,,
-0.047618359327316284,-0.04170500114560127,-0.050224412232637405,-0.05195469781756401,0.011168993078172207,0.03501800447702408,0.012070709839463234,-10.0,0.8573682904243469,13,13,,,,,,,,,
-0.04597361013293266,-0.039438046514987946,-0.04890669509768486,-0.05062786489725113,0.012163019739091396,0.038249071687459946,0.013031035661697388,-1.3891785144805908,0.8548305630683899,14,14,,,,,,,,,
-0.04432709142565727,-0.03711439296603203,-0.047615278512239456,-0.049327243119478226,0.013254458084702492,0.041799139231443405,0.014442110434174538,-10.0,0.8522928953170776,15,15,,,,,,,,,
-0.04267362877726555,-0.03471973165869713,-0.04634964466094971,-0.048052143305540085,0.014510488137602806,0.04583967849612236,0.016242260113358498,-9.408400535583496,0.849749743938446,16,16,,,,,,,,,
-0.04100772365927696,-0.0322384312748909,-0.045109476894140244,-0.04680190235376358,0.01599295251071453,0.05052540823817253,0.017919600009918213,-2.0436744689941406,0.8471969366073608,17,17,,,,,,,,,
-0.039324887096881866,-0.02965793013572693,-0.043894268572330475,-0.04557589441537857,0.017754411324858665,0.05597395822405815,0.01942983828485012,-10.0,0.8446305990219116,18,18,,,,,,,,,
,,,,,,,,,19,19,-0.03978685662150383,-0.02983388863503933,-0.04501432180404663,-0.044768549501895905,0.017549127340316772,0.05617021396756172,0.014352655969560146,-5.979058742523193,0.8498947024345398
-0.03762045130133629,-0.02696511708199978,-0.04270350933074951,-0.0443735234439373,0.01982235349714756,0.06220073252916336,0.02067643404006958,-1.674450159072876,0.8420480489730835,19,19,,,,,,,,,
-0.03588951751589775,-0.024146175011992455,-0.04153679683804512,-0.04319422319531441,0.02214679680764675,0.06895575672388077,0.021621674299240112,-1.3878284692764282,0.8394457101821899,20,20,,,,,,,,,
-0.0341317355632782,-0.021200919523835182,-0.0403936505317688,-0.04203735664486885,0.024523664265871048,0.07560672610998154,0.0227349940687418,-1.886919379234314,0.8368237614631653,21,21,,,,,,,,,
-0.03234388306736946,-0.018120676279067993,-0.03927356004714966,-0.04090242460370064,0.02663952112197876,0.081441231071949,0.023813491687178612,-0.7097770571708679,0.8341790437698364,22,22,,,,,,,,,
-0.030524026602506638,-0.01490073837339878,-0.03817620500922203,-0.039788950234651566,0.028390085324645042,0.08639498800039291,0.02495167963206768,-0.30024728178977966,0.8315099477767944,23,23,,,,,,,,,
-0.028674345463514328,-0.01154833473265171,-0.037101127207279205,-0.03869659826159477,0.029970014467835426,0.09100522845983505,0.026198774576187134,-0.31846070289611816,0.8288170695304871,24,24,,,,,,,,,
-0.02679450437426567,-0.008062697015702724,-0.0360480435192585,-0.037624992430210114,0.03156920149922371,0.09568390995264053,0.02751150168478489,-1.8551088571548462,0.8260995149612427,25,25,,,,,,,,,
-0.024891985580325127,-0.004467374179512262,-0.03501676395535469,-0.03657388687133789,0.03327642008662224,0.10061806440353394,0.028912704437971115,-1.0191023349761963,0.8233612179756165,26,26,,,,,,,,,
-0.022970063611865044,-0.0007717609405517578,-0.03400716930627823,-0.035543035715818405,0.03506850823760033,0.1057305559515953,0.030356580391526222,-1.2792843580245972,0.8206014633178711,27,27,,,,,,,,,
-0.021041417494416237,0.002985012484714389,-0.03301907703280449,-0.03453243896365166,0.036901604384183884,0.11090411990880966,0.03178324177861214,0.28294500708580017,0.8178228139877319,28,28,,,,,,,,,
-0.019111812114715576,0.006785774137824774,-0.03205233812332153,-0.033542025834321976,0.038720447570085526,0.11598892509937286,0.0331047847867012,-2.2773635387420654,0.8150273561477661,29,29,,,,,,,,,
-0.017193496227264404,0.010594004765152931,-0.03110717609524727,-0.03257174417376518,0.04046992212533951,0.1208416000008583,0.034288614988327026,-0.9713257551193237,0.8122178316116333,30,30,,,,,,,,,
-0.015298092737793922,0.014374876394867897,-0.030183613300323486,-0.03162189945578575,0.04206967353820801,0.1252523809671402,0.03523063287138939,-0.9860299825668335,0.8093959093093872,31,31,,,,,,,,,
-0.013436311855912209,0.0180966854095459,-0.02928171120584011,-0.030692387372255325,0.04345985874533653,0.1290736049413681,0.035859059542417526,-2.075443983078003,0.806564450263977,32,32,,,,,,,,,
-0.011626536026597023,0.02170467935502529,-0.028401708230376244,-0.029783403500914574,0.044577475637197495,0.13215689361095428,0.03611015900969505,-0.7373225092887878,0.8037301898002625,33,33,,,,,,,,,
-0.009883314371109009,0.02515605092048645,-0.027543794363737106,-0.028895294293761253,0.04536307603120804,0.13435806334018707,0.03602798655629158,-1.635113000869751,0.8009025454521179,34,34,,,,,,,,,
-0.008228689432144165,0.028384864330291748,-0.026708101853728294,-0.028028154745697975,0.04578785225749016,0.13561435043811798,0.035602640360593796,-0.348210871219635,0.798093855381012,35,35,,,,,,,,,
-0.006679338403046131,0.031341880559921265,-0.025894593447446823,-0.02718191221356392,0.045861851423978806,0.13596032559871674,0.03480600193142891,-0.3013947010040283,0.7953213453292847,36,36,,,,,,,,,
-0.0052551268599927425,0.033968206495046616,-0.02510366402566433,-0.026357006281614304,0.04560539126396179,0.13544176518917084,0.03362710028886795,-1.225073218345642,0.7926092147827148,37,37,,,,,,,,,
-0.0039841593243181705,0.03618049621582031,-0.024335384368896484,-0.02555365487933159,0.04508465155959129,0.13422946631908417,0.0320255272090435,-0.39249739050865173,0.7899812459945679,38,38,,,,,,,,,
,,,,,,,,,39,39,-0.006158638279885054,0.03169083222746849,-0.02590738609433174,-0.02474963665008545,0.04294903948903084,0.1297854483127594,0.028084909543395042,-0.4852747619152069,0.7960476875305176
-0.0029001475777477026,0.03787723183631897,-0.023589765653014183,-0.02477167919278145,0.044399697333574295,0.13258805871009827,0.030055593699216843,-0.26008734107017517,0.7874597907066345,39,39,,,,,,,,,
